NAZIONE;TERPA_DESCR_ENTE_CIRC;LISTE_DESCR_LISTA;VOTLI_NUM_VOTI_VAL
CROAZIA;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;52
CROAZIA;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;45
CROAZIA;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;24
CROAZIA;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;24
CROAZIA;II : ITALIA NORD-ORIENTALE;LA SINISTRA;18
CROAZIA;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;11
CROAZIA;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;9
CROAZIA;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;7
CROAZIA;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;3
CROAZIA;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;2
CROAZIA;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;2
CROAZIA;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;2
CROAZIA;II : ITALIA NORD-ORIENTALE;SVP;2
CROAZIA;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;0
CROAZIA;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;21
CROAZIA;III : ITALIA CENTRALE;MOVIMENTO 5 STELLE;12
CROAZIA;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;10
CROAZIA;III : ITALIA CENTRALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;7
CROAZIA;III : ITALIA CENTRALE;FORZA ITALIA;7
CROAZIA;III : ITALIA CENTRALE;EUROPA VERDE;5
CROAZIA;III : ITALIA CENTRALE;FRATELLI D'ITALIA;5
CROAZIA;III : ITALIA CENTRALE;PARTITO ANIMALISTA;2
CROAZIA;III : ITALIA CENTRALE;PARTITO COMUNISTA;2
CROAZIA;III : ITALIA CENTRALE;POPOLARI PER L'ITALIA;2
CROAZIA;III : ITALIA CENTRALE;CASAPOUND ITALIA - DESTRE UNITE;1
CROAZIA;III : ITALIA CENTRALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1
CROAZIA;III : ITALIA CENTRALE;FORZA NUOVA;0
CROAZIA;III : ITALIA CENTRALE;LA SINISTRA;0
CROAZIA;III : ITALIA CENTRALE;PARTITO PIRATA;0
CROAZIA;IV : ITALIA MERIDIONALE;PARTITO DEMOCRATICO;6
CROAZIA;IV : ITALIA MERIDIONALE;FORZA ITALIA;5
CROAZIA;IV : ITALIA MERIDIONALE;MOVIMENTO 5 STELLE;5
CROAZIA;IV : ITALIA MERIDIONALE;EUROPA VERDE;2
CROAZIA;IV : ITALIA MERIDIONALE;LEGA SALVINI PREMIER;2
CROAZIA;IV : ITALIA MERIDIONALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
CROAZIA;IV : ITALIA MERIDIONALE;FRATELLI D'ITALIA;1
CROAZIA;IV : ITALIA MERIDIONALE;PARTITO ANIMALISTA;1
CROAZIA;IV : ITALIA MERIDIONALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1
CROAZIA;IV : ITALIA MERIDIONALE;CASAPOUND ITALIA - DESTRE UNITE;0
CROAZIA;IV : ITALIA MERIDIONALE;FORZA NUOVA;0
CROAZIA;IV : ITALIA MERIDIONALE;LA SINISTRA;0
CROAZIA;IV : ITALIA MERIDIONALE;PARTITO COMUNISTA;0
CROAZIA;IV : ITALIA MERIDIONALE;PARTITO PIRATA;0
CROAZIA;IV : ITALIA MERIDIONALE;POPOLARI PER L'ITALIA;0
CROAZIA;V : ITALIA INSULARE;CASAPOUND ITALIA - DESTRE UNITE;0
CROAZIA;V : ITALIA INSULARE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;0
CROAZIA;V : ITALIA INSULARE;EUROPA VERDE;0
CROAZIA;V : ITALIA INSULARE;FORZA ITALIA;0
CROAZIA;V : ITALIA INSULARE;FORZA NUOVA;0
CROAZIA;V : ITALIA INSULARE;FRATELLI D'ITALIA;0
CROAZIA;V : ITALIA INSULARE;LA SINISTRA;0
CROAZIA;V : ITALIA INSULARE;LEGA SALVINI PREMIER;0
CROAZIA;V : ITALIA INSULARE;MOVIMENTO 5 STELLE;0
CROAZIA;V : ITALIA INSULARE;PARTITO ANIMALISTA;0
CROAZIA;V : ITALIA INSULARE;PARTITO COMUNISTA;0
CROAZIA;V : ITALIA INSULARE;PARTITO DEMOCRATICO;0
CROAZIA;V : ITALIA INSULARE;PARTITO PIRATA;0
CROAZIA;V : ITALIA INSULARE;POPOLARI PER L'ITALIA;0
CROAZIA;V : ITALIA INSULARE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;151
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;51
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;43
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;30
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;25
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;22
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;8
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;4
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;3
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;2
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;2
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;1
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;0
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;0
DANIMARCA;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;0
DANIMARCA;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;111
DANIMARCA;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;51
DANIMARCA;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;37
DANIMARCA;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;30
DANIMARCA;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;17
DANIMARCA;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;6
DANIMARCA;II : ITALIA NORD-ORIENTALE;LA SINISTRA;6
DANIMARCA;II : ITALIA NORD-ORIENTALE;SVP;4
DANIMARCA;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;2
DANIMARCA;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;2
DANIMARCA;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;1
DANIMARCA;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;1
DANIMARCA;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
DANIMARCA;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;0
DANIMARCA;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;0
DANIMARCA;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
DANIMARCA;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;0
DANIMARCA;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;136
DANIMARCA;III : ITALIA CENTRALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;35
DANIMARCA;III : ITALIA CENTRALE;MOVIMENTO 5 STELLE;34
DANIMARCA;III : ITALIA CENTRALE;EUROPA VERDE;32
DANIMARCA;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;18
DANIMARCA;III : ITALIA CENTRALE;LA SINISTRA;17
DANIMARCA;III : ITALIA CENTRALE;FORZA ITALIA;4
DANIMARCA;III : ITALIA CENTRALE;FRATELLI D'ITALIA;4
DANIMARCA;III : ITALIA CENTRALE;PARTITO COMUNISTA;2
DANIMARCA;III : ITALIA CENTRALE;PARTITO PIRATA;1
DANIMARCA;III : ITALIA CENTRALE;CASAPOUND ITALIA - DESTRE UNITE;0
DANIMARCA;III : ITALIA CENTRALE;FORZA NUOVA;0
DANIMARCA;III : ITALIA CENTRALE;PARTITO ANIMALISTA;0
DANIMARCA;III : ITALIA CENTRALE;POPOLARI PER L'ITALIA;0
DANIMARCA;III : ITALIA CENTRALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
DANIMARCA;IV : ITALIA MERIDIONALE;PARTITO DEMOCRATICO;37
DANIMARCA;IV : ITALIA MERIDIONALE;MOVIMENTO 5 STELLE;24
DANIMARCA;IV : ITALIA MERIDIONALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;23
DANIMARCA;IV : ITALIA MERIDIONALE;EUROPA VERDE;19
DANIMARCA;IV : ITALIA MERIDIONALE;LA SINISTRA;9
DANIMARCA;IV : ITALIA MERIDIONALE;LEGA SALVINI PREMIER;9
DANIMARCA;IV : ITALIA MERIDIONALE;FORZA ITALIA;3
DANIMARCA;IV : ITALIA MERIDIONALE;FRATELLI D'ITALIA;2
DANIMARCA;IV : ITALIA MERIDIONALE;PARTITO COMUNISTA;2
DANIMARCA;IV : ITALIA MERIDIONALE;POPOLARI PER L'ITALIA;1
DANIMARCA;IV : ITALIA MERIDIONALE;CASAPOUND ITALIA - DESTRE UNITE;0
DANIMARCA;IV : ITALIA MERIDIONALE;FORZA NUOVA;0
DANIMARCA;IV : ITALIA MERIDIONALE;PARTITO ANIMALISTA;0
DANIMARCA;IV : ITALIA MERIDIONALE;PARTITO PIRATA;0
DANIMARCA;IV : ITALIA MERIDIONALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
DANIMARCA;V : ITALIA INSULARE;PARTITO DEMOCRATICO;32
DANIMARCA;V : ITALIA INSULARE;MOVIMENTO 5 STELLE;30
DANIMARCA;V : ITALIA INSULARE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;8
DANIMARCA;V : ITALIA INSULARE;LEGA SALVINI PREMIER;8
DANIMARCA;V : ITALIA INSULARE;EUROPA VERDE;5
DANIMARCA;V : ITALIA INSULARE;LA SINISTRA;4
DANIMARCA;V : ITALIA INSULARE;FORZA ITALIA;2
DANIMARCA;V : ITALIA INSULARE;CASAPOUND ITALIA - DESTRE UNITE;1
DANIMARCA;V : ITALIA INSULARE;FRATELLI D'ITALIA;1
DANIMARCA;V : ITALIA INSULARE;PARTITO PIRATA;1
DANIMARCA;V : ITALIA INSULARE;POPOLARI PER L'ITALIA;1
DANIMARCA;V : ITALIA INSULARE;FORZA NUOVA;0
DANIMARCA;V : ITALIA INSULARE;PARTITO ANIMALISTA;0
DANIMARCA;V : ITALIA INSULARE;PARTITO COMUNISTA;0
DANIMARCA;V : ITALIA INSULARE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
ESTONIA;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;11
ESTONIA;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;5
ESTONIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;3
ESTONIA;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;3
ESTONIA;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;2
ESTONIA;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;2
ESTONIA;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;1
ESTONIA;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;1
ESTONIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;0
ESTONIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
ESTONIA;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;0
ESTONIA;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;0
ESTONIA;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;0
ESTONIA;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;0
ESTONIA;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;0
ESTONIA;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
ESTONIA;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;9
ESTONIA;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;6
ESTONIA;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;5
ESTONIA;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;4
ESTONIA;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
ESTONIA;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;1
ESTONIA;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;1
ESTONIA;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;1
ESTONIA;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
ESTONIA;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;0
ESTONIA;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;0
ESTONIA;II : ITALIA NORD-ORIENTALE;LA SINISTRA;0
ESTONIA;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;0
ESTONIA;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;0
ESTONIA;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
ESTONIA;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;0
ESTONIA;II : ITALIA NORD-ORIENTALE;SVP;0
ESTONIA;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;9
ESTONIA;III : ITALIA CENTRALE;FORZA ITALIA;3
ESTONIA;III : ITALIA CENTRALE;MOVIMENTO 5 STELLE;3
ESTONIA;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;3
ESTONIA;III : ITALIA CENTRALE;CASAPOUND ITALIA - DESTRE UNITE;2
ESTONIA;III : ITALIA CENTRALE;FRATELLI D'ITALIA;1
ESTONIA;III : ITALIA CENTRALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;0
ESTONIA;III : ITALIA CENTRALE;EUROPA VERDE;0
ESTONIA;III : ITALIA CENTRALE;FORZA NUOVA;0
ESTONIA;III : ITALIA CENTRALE;LA SINISTRA;0
ESTONIA;III : ITALIA CENTRALE;PARTITO ANIMALISTA;0
ESTONIA;III : ITALIA CENTRALE;PARTITO COMUNISTA;0
ESTONIA;III : ITALIA CENTRALE;PARTITO PIRATA;0
ESTONIA;III : ITALIA CENTRALE;POPOLARI PER L'ITALIA;0
ESTONIA;III : ITALIA CENTRALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
ESTONIA;IV : ITALIA MERIDIONALE;MOVIMENTO 5 STELLE;3
ESTONIA;IV : ITALIA MERIDIONALE;FORZA ITALIA;2
ESTONIA;IV : ITALIA MERIDIONALE;PARTITO DEMOCRATICO;2
ESTONIA;IV : ITALIA MERIDIONALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
ESTONIA;IV : ITALIA MERIDIONALE;EUROPA VERDE;1
ESTONIA;IV : ITALIA MERIDIONALE;FRATELLI D'ITALIA;1
ESTONIA;IV : ITALIA MERIDIONALE;LEGA SALVINI PREMIER;1
ESTONIA;IV : ITALIA MERIDIONALE;PARTITO COMUNISTA;1
ESTONIA;IV : ITALIA MERIDIONALE;CASAPOUND ITALIA - DESTRE UNITE;0
ESTONIA;IV : ITALIA MERIDIONALE;FORZA NUOVA;0
ESTONIA;IV : ITALIA MERIDIONALE;LA SINISTRA;0
ESTONIA;IV : ITALIA MERIDIONALE;PARTITO ANIMALISTA;0
ESTONIA;IV : ITALIA MERIDIONALE;PARTITO PIRATA;0
ESTONIA;IV : ITALIA MERIDIONALE;POPOLARI PER L'ITALIA;0
ESTONIA;IV : ITALIA MERIDIONALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
ESTONIA;V : ITALIA INSULARE;CASAPOUND ITALIA - DESTRE UNITE;0
ESTONIA;V : ITALIA INSULARE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;0
ESTONIA;V : ITALIA INSULARE;EUROPA VERDE;0
ESTONIA;V : ITALIA INSULARE;FORZA ITALIA;0
ESTONIA;V : ITALIA INSULARE;FORZA NUOVA;0
ESTONIA;V : ITALIA INSULARE;FRATELLI D'ITALIA;0
ESTONIA;V : ITALIA INSULARE;LA SINISTRA;0
ESTONIA;V : ITALIA INSULARE;LEGA SALVINI PREMIER;0
ESTONIA;V : ITALIA INSULARE;MOVIMENTO 5 STELLE;0
ESTONIA;V : ITALIA INSULARE;PARTITO ANIMALISTA;0
ESTONIA;V : ITALIA INSULARE;PARTITO COMUNISTA;0
ESTONIA;V : ITALIA INSULARE;PARTITO DEMOCRATICO;0
ESTONIA;V : ITALIA INSULARE;PARTITO PIRATA;0
ESTONIA;V : ITALIA INSULARE;POPOLARI PER L'ITALIA;0
ESTONIA;V : ITALIA INSULARE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;32
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;14
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;13
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;12
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;9
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;6
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;6
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;3
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;2
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;2
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;1
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;1
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;0
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;0
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;0
FINLANDIA;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
FINLANDIA;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;30
FINLANDIA;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;16
FINLANDIA;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;12
FINLANDIA;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;10
FINLANDIA;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;10
FINLANDIA;II : ITALIA NORD-ORIENTALE;LA SINISTRA;3
FINLANDIA;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;2
FINLANDIA;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;1
FINLANDIA;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;1
FINLANDIA;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1
FINLANDIA;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
FINLANDIA;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;0
FINLANDIA;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;0
FINLANDIA;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;0
FINLANDIA;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;0
FINLANDIA;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;0
FINLANDIA;II : ITALIA NORD-ORIENTALE;SVP;0
FINLANDIA;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;41
FINLANDIA;III : ITALIA CENTRALE;MOVIMENTO 5 STELLE;12
FINLANDIA;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;10
FINLANDIA;III : ITALIA CENTRALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;8
FINLANDIA;III : ITALIA CENTRALE;EUROPA VERDE;8
FINLANDIA;III : ITALIA CENTRALE;FRATELLI D'ITALIA;5
FINLANDIA;III : ITALIA CENTRALE;LA SINISTRA;5
FINLANDIA;III : ITALIA CENTRALE;FORZA ITALIA;2
FINLANDIA;III : ITALIA CENTRALE;PARTITO ANIMALISTA;1
FINLANDIA;III : ITALIA CENTRALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1
FINLANDIA;III : ITALIA CENTRALE;CASAPOUND ITALIA - DESTRE UNITE;0
FINLANDIA;III : ITALIA CENTRALE;FORZA NUOVA;0
FINLANDIA;III : ITALIA CENTRALE;PARTITO COMUNISTA;0
FINLANDIA;III : ITALIA CENTRALE;PARTITO PIRATA;0
FINLANDIA;III : ITALIA CENTRALE;POPOLARI PER L'ITALIA;0
FINLANDIA;IV : ITALIA MERIDIONALE;MOVIMENTO 5 STELLE;14
FINLANDIA;IV : ITALIA MERIDIONALE;PARTITO DEMOCRATICO;14
FINLANDIA;IV : ITALIA MERIDIONALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;7
FINLANDIA;IV : ITALIA MERIDIONALE;EUROPA VERDE;4
FINLANDIA;IV : ITALIA MERIDIONALE;LA SINISTRA;4
FINLANDIA;IV : ITALIA MERIDIONALE;LEGA SALVINI PREMIER;4
FINLANDIA;IV : ITALIA MERIDIONALE;CASAPOUND ITALIA - DESTRE UNITE;1
FINLANDIA;IV : ITALIA MERIDIONALE;FORZA ITALIA;1
FINLANDIA;IV : ITALIA MERIDIONALE;FRATELLI D'ITALIA;1
FINLANDIA;IV : ITALIA MERIDIONALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1
FINLANDIA;IV : ITALIA MERIDIONALE;FORZA NUOVA;0
FINLANDIA;IV : ITALIA MERIDIONALE;PARTITO ANIMALISTA;0
FINLANDIA;IV : ITALIA MERIDIONALE;PARTITO COMUNISTA;0
FINLANDIA;IV : ITALIA MERIDIONALE;PARTITO PIRATA;0
FINLANDIA;IV : ITALIA MERIDIONALE;POPOLARI PER L'ITALIA;0
FINLANDIA;V : ITALIA INSULARE;PARTITO DEMOCRATICO;11
FINLANDIA;V : ITALIA INSULARE;MOVIMENTO 5 STELLE;7
FINLANDIA;V : ITALIA INSULARE;LEGA SALVINI PREMIER;4
FINLANDIA;V : ITALIA INSULARE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
FINLANDIA;V : ITALIA INSULARE;EUROPA VERDE;1
FINLANDIA;V : ITALIA INSULARE;FORZA ITALIA;1
FINLANDIA;V : ITALIA INSULARE;LA SINISTRA;1
FINLANDIA;V : ITALIA INSULARE;CASAPOUND ITALIA - DESTRE UNITE;0
FINLANDIA;V : ITALIA INSULARE;FORZA NUOVA;0
FINLANDIA;V : ITALIA INSULARE;FRATELLI D'ITALIA;0
FINLANDIA;V : ITALIA INSULARE;PARTITO ANIMALISTA;0
FINLANDIA;V : ITALIA INSULARE;PARTITO COMUNISTA;0
FINLANDIA;V : ITALIA INSULARE;PARTITO PIRATA;0
FINLANDIA;V : ITALIA INSULARE;POPOLARI PER L'ITALIA;0
FINLANDIA;V : ITALIA INSULARE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
FRANCIA;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;3256
FRANCIA;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;1112
FRANCIA;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;826
FRANCIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;727
FRANCIA;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;633
FRANCIA;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;512
FRANCIA;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;343
FRANCIA;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;155
FRANCIA;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;77
FRANCIA;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;63
FRANCIA;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;60
FRANCIA;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;41
FRANCIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;32
FRANCIA;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;29
FRANCIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;27
FRANCIA;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;17
FRANCIA;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;2049
FRANCIA;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;777
FRANCIA;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;616
FRANCIA;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;423
FRANCIA;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;311
FRANCIA;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;295
FRANCIA;II : ITALIA NORD-ORIENTALE;LA SINISTRA;254
FRANCIA;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;66
FRANCIA;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;65
FRANCIA;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;47
FRANCIA;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;45
FRANCIA;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;28
FRANCIA;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;24
FRANCIA;II : ITALIA NORD-ORIENTALE;SVP;23
FRANCIA;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;21
FRANCIA;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;18
FRANCIA;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;10
FRANCIA;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;1945
FRANCIA;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;815
