"Territorio"	"Tipo di indicatore demografico"	"Sesso"	"Età"	"Stato civile"	"Seleziona periodo"	"Value"	"Flags"
"Bogogno"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	646	
"Bogogno"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1285	
"Boissano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1243	
"Boissano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1231	
"Boissano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2474	
"Bojano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	4059	
"Bojano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	4119	
"Bojano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	8178	
"Bolano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3842	
"Bolano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3994	
"Bolano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	7836	
"Bolgare"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3156	
"Bolgare"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3081	
"Bolgare"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	6237	
"Bollate"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	17522	
"Bollate"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	18964	
"Bollate"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	36486	
"Bollengo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1085	
"Bollengo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1059	
"Bollengo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2144	
"Bolognano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	549	
"Bolognano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	546	
"Bolognano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1095	
"Bolognetta"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2065	
"Bolognetta"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2096	
"Bolognetta"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	4161	
"Bolognola"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	74	
"Bolognola"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	62	
"Bolognola"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	136	
"Bolotana"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1203	
"Bolotana"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1376	
"Bolotana"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2579	
"Bolsena"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1888	
"Bolsena"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2053	
"Bolsena"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3941	
"Boltiere"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3126	
"Boltiere"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2976	
"Boltiere"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	6102	
"Bolzano Novarese"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	605	
"Bolzano Novarese"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	585	
"Bolzano Novarese"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1190	
"Bolzano Vicentino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3238	
"Bolzano Vicentino"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3242	
"Bolzano Vicentino"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	6480	
"Bomarzo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	912	
"Bomarzo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	898	
"Bomarzo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1810	
"Bomba"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	392	
"Bomba"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	393	
"Bomba"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	785	
"Bompensiere"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	274	
"Bompensiere"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	279	
"Bompensiere"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	553	
"Bompietro"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	625	
"Bompietro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	712	
"Bompietro"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1337	
"Bomporto"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	5083	
"Bomporto"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	5087	
"Bomporto"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	10170	
"Bonarcado"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	802	
"Bonarcado"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	785	
"Bonarcado"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1587	
"Bonassola"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	397	
"Bonassola"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	436	
"Bonassola"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	833	
"Bonate Sopra"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	4972	
"Bonate Sopra"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	5048	
"Bonate Sopra"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	10020	
"Bonate Sotto"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3348	
"Bonate Sotto"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3356	
"Bonate Sotto"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	6704	
"Bonavigo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1033	
"Bonavigo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	980	
"Bonavigo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2013	
"Bondeno"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	6844	
"Bondeno"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	7373	
"Bondeno"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	14217	
"Bondone"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	341	
"Bondone"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	326	
"Bondone"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	667	
"Bonea"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	704	
"Bonea"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	711	
"Bonea"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1415	
"Bonefro"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	638	
"Bonefro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	693	
"Bonefro"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1331	
"Bonemerse"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	769	
"Bonemerse"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	759	
"Bonemerse"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1528	
"Bonifati"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1342	
"Bonifati"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1446	
"Bonifati"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2788	
"Bonito"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1197	
"Bonito"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1207	
"Bonito"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2404	
"Bonnanaro"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	448	
"Bonnanaro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	525	
"Bonnanaro"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	973	
"Bono"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1709	
"Bono"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1822	
"Bono"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3531	
"Bonorva"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1687	
"Bonorva"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1699	
"Bonorva"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3386	
"Bonvicino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	46	
"Bonvicino"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	50	
"Bonvicino"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	96	
"Borbona"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	305	
"Borbona"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	291	
"Borbona"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	596	
"Borca di Cadore"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	397	
"Borca di Cadore"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	412	
"Borca di Cadore"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	809	
"Bordano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	359	
"Bordano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	377	
"Bordano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	736	
"Bordighera"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	4811	
"Bordighera"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	5601	
"Bordighera"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	10412	
"Bordolano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	301	
"Bordolano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	304	
"Bordolano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	605	
"Bore"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	363	
"Bore"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	355	
"Bore"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	718	
"Boretto"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2616	
"Boretto"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2729	
"Boretto"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	5345	
"Borgarello"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1336	
"Borgarello"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1356	
"Borgarello"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2692	
"Borgaro Torinese"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	5802	
"Borgaro Torinese"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	6087	
"Borgaro Torinese"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	11889	
"Borgetto"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3713	
"Borgetto"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3661	
"Borgetto"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	7374	
"Borghetto d'Arroscia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	247	
"Borghetto d'Arroscia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	202	
"Borghetto d'Arroscia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	449	
"Borghetto di Borbera"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	996	
"Borghetto di Borbera"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	992	
"Borghetto di Borbera"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1988	
"Borghetto di Vara"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	443	
"Borghetto di Vara"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	477	
"Borghetto di Vara"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	920	
"Borghetto Lodigiano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2145	
"Borghetto Lodigiano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2157	
"Borghetto Lodigiano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	4302	
"Borghetto Santo Spirito"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2257	
"Borghetto Santo Spirito"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2545	
"Borghetto Santo Spirito"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	4802	
"Borghi"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1434	
"Borghi"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1423	
"Borghi"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2857	
"Borgia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3730	
"Borgia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3863	
"Borgia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	7593	
"Borgiallo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	306	
"Borgiallo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	287	
"Borgiallo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	593	
"Borgio Verezzi"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1033	
"Borgio Verezzi"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1170	
"Borgio Verezzi"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2203	
"Borgo a Mozzano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3424	
"Borgo a Mozzano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3570	
"Borgo a Mozzano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	6994	
"Borgo d'Ale"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1192	
"Borgo d'Ale"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1172	
"Borgo d'Ale"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2364	
"Borgo di Terzo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	596	
"Borgo di Terzo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	568	
"Borgo di Terzo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1164	
"Borgo Pace"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	321	
"Borgo Pace"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	292	
"Borgo Pace"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	613	
"Borgo Priolo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	772	
"Borgo Priolo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	703	
"Borgo Priolo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1475	
"Borgo San Dalmazzo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	6084	
"Borgo San Dalmazzo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	6408	
"Borgo San Dalmazzo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	12492	
"Borgo San Giacomo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2773	
"Borgo San Giacomo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2682	
"Borgo San Giacomo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	5455	
"Borgo San Giovanni"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1216	
"Borgo San Giovanni"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1229	
"Borgo San Giovanni"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2445	
"Borgo San Lorenzo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	9030	
"Borgo San Lorenzo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	9389	
"Borgo San Lorenzo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	18419	
"Borgo San Martino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	688	
"Borgo San Martino"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	723	
"Borgo San Martino"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1411	
"Borgo San Siro"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	496	
"Borgo San Siro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	506	
"Borgo San Siro"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1002	
"Borgo Ticino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2546	
"Borgo Ticino"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2543	
"Borgo Ticino"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	5089	
"Borgo Tossignano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1599	
"Borgo Tossignano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1641	
"Borgo Tossignano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3240	
"Borgo Val di Taro"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3360	
"Borgo Val di Taro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3547	
"Borgo Val di Taro"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	6907	
"Borgo Valsugana"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3394	
"Borgo Valsugana"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3555	
"Borgo Valsugana"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	6949	
"Borgo Velino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	437	
"Borgo Velino"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	504	
"Borgo Velino"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	941	
"Borgo Vercelli"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1082	
"Borgo Vercelli"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1142	
"Borgo Vercelli"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2224	
"Borgofranco d'Ivrea"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1770	
"Borgofranco d'Ivrea"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1920	
"Borgofranco d'Ivrea"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3690	
"Borgofranco sul Po"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	358	
"Borgofranco sul Po"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	401	
"Borgofranco sul Po"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	759	
"Borgolavezzaro"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	986	
"Borgolavezzaro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1055	
"Borgolavezzaro"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2041	
"Borgomale"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	194	
"Borgomale"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	194	
"Borgomale"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	388	
"Borgomanero"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	10418	
"Borgomanero"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	11301	
"Borgomanero"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	21719	
"Borgomaro"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	474	
"Borgomaro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	407	
"Borgomaro"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	881	
"Borgomasino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	390	
"Borgomasino"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	418	
"Borgomasino"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	808	
"Borgone Susa"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1107	
"Borgone Susa"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1098	
"Borgone Susa"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2205	
"Borgonovo Val Tidone"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3927	
"Borgonovo Val Tidone"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	4025	
"Borgonovo Val Tidone"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	7952	
"Borgoratto Alessandrino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	263	
"Borgoratto Alessandrino"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	307	
"Borgoratto Alessandrino"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	570	
"Borgoratto Mormorolo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	210	
"Borgoratto Mormorolo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	217	
"Borgoratto Mormorolo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	427	
"Borgoricco"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	4411	
"Borgoricco"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	4363	
"Borgoricco"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	8774	
"Borgorose"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2311	
"Borgorose"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2175	
"Borgorose"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	4486	
"Borgosatollo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	4623	
"Borgosatollo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	4648	
"Borgosatollo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	9271	
"Borgosesia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	5982	
"Borgosesia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	6694	
"Borgosesia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	12676	
"Bormida"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	190	
"Bormida"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	192	
"Bormida"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	382	
"Bormio"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2054	
"Bormio"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2140	
"Bormio"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	4194	
"Bornasco"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1403	
"Bornasco"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1307	
"Bornasco"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2710	
"Borno"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1313	
"Borno"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1349	
"Borno"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2662	
"Boroneddu"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	72	
"Boroneddu"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	81	
"Boroneddu"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	153	
"Borore"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1004	
"Borore"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1075	
"Borore"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2079	
"Borrello"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	164	
"Borrello"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	171	
"Borrello"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	335	
"Borriana"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	411	
"Borriana"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	478	
"Borriana"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	889	
